task_lang,transfer_lang,bleu
rw,bg,2.7838187145996103
ml,bg,2.7692967684978846
xh,bg,2.6494403115109133
si,bg,2.645562492708417
no,bg,2.488836109074752
ta,bg,2.460395939764384
eo,bg,2.442273727360161
bn,bg,2.3918549320096725
eu,bg,2.2298513578745043
mn,bg,2.0676561632223063
kn,bg,1.9286695332615231
ku,bg,1.80237346223094
pa,bg,1.7889381254360806
dz,bg,1.661629745307744
my,bg,1.6333829225368022
ko,bg,1.5505802569935518
ja,bg,1.4719290687163766
fa,bg,1.3279528849385192
mr,bg,1.225238338187135
is,bg,1.198574405162496
ps,bg,1.1769231544121852
ur,bg,1.1660196244758223
or,bg,1.121136020691543
uz,bg,0.8799596139249448
am,bg,0.7185809869865959
tg,bg,0.530056672744352
az,bg,0.5299159822675734
yi,bg,0.2244456732804577
ka,bg,0.1728369610458253
ha,bg,0.1431071198204374
tt,bg,0.1049617772009177
ug,bg,0.0834148369028311
gd,bn,58.19520276834006
gu,bn,21.592407193715985
bn,bn,21.348893322051477
as,bn,20.2044160111796
tk,bn,19.971145136884296
ig,bn,17.89699387349808
ne,bn,17.370079982403254
ky,bn,16.254805923010196
de,bn,14.05365912650288
pa,bn,13.178112056799096
zu,bn,11.906647933151552
yo,bn,11.62446928731008
kn,bn,11.538261775176943
li,bn,10.941087582578149
ru,bn,10.791947821712498
fy,bn,10.615895837229845
te,bn,10.097364980349784
yi,bn,9.791886517172214
kk,bn,9.70432494901728
cy,bn,9.02361047263803
hi,bn,8.92925038438874
km,bn,8.915720934482911
af,bn,8.701431498950384
el,bn,8.538425845268389
cs,bn,8.459536551940719
nb,bn,8.152516007720305
ta,bn,8.085809655532296
ro,bn,7.936370093162679
mt,bn,7.79941381419333
ps,bn,7.743671827898467
wa,bn,7.650935936424599
et,bn,7.52964085890103
be,bn,7.309247404761453
mr,bn,7.26296352112506
he,bn,7.230054158918888
si,bn,6.909898584327694
oc,bn,6.875608094980533
my,bn,6.866195968456201
ml,bn,6.842699417419556
or,bn,6.701518918256872
nn,bn,6.6538645830996686
sq,bn,6.172109617280988
br,bn,5.956025245253322
nl,bn,5.918663072523985
zh,bn,5.639590980911612
mk,bn,5.633746128722939
se,bn,5.594748735229927
it,bn,5.574846738958081
ms,bn,5.495131127412284
fr,bn,5.446057586168997
uk,bn,5.267269146222055
lv,bn,5.26063140612221
id,bn,5.217453354539038
sh,bn,5.145907892428001
ko,bn,5.098085736760911
hu,bn,5.049708373567172
lt,bn,5.039798689674249
mg,bn,4.969150853233743
bg,bn,4.9412468488843295
mn,bn,4.88708613701111
ga,bn,4.844067090527771
vi,bn,4.803990350347808
sk,bn,4.785579039475816
hy,bn,4.743887972312234
ca,bn,4.233183054453349
es,bn,4.185249906009084
pt,bn,4.149080226839166
da,bn,4.032654694221026
th,bn,3.797413096009884
an,bn,3.73532784057193
tr,bn,3.685965178961225
pl,bn,3.5719424049825763
sv,bn,3.338783164247323
ur,bn,3.2431189617770677
gl,bn,3.214380201813971
sl,bn,2.881920606437427
fi,bn,2.6714648809875423
hr,bn,2.599967036728342
rw,bn,2.58498350390522
eu,bn,2.547313505157943
dz,bn,2.503400411910759
ku,bn,2.478159167562607
no,bn,2.444103627333256
ja,bn,2.4141651290715576
xh,bn,2.3898346650446016
ar,bn,2.2609703793535383
eo,bn,2.165121681218003
bs,bn,2.085629762752378
sr,bn,1.991275310032208
fa,bn,1.950123873572512
am,bn,1.7376664967515505
uz,bn,1.4881530684641515
az,bn,1.4836950697197526
is,bn,1.3878995492666022
tg,bn,1.00466790117684
tt,bn,0.5983501246025139
ka,bn,0.4042609174488559
ha,bn,0.1519050689062988
ug,bn,0.106570537779131
gd,bs,45.1677205312381
bs,bs,29.54722915431992
hr,bs,29.29997236301997
sr,bs,28.540935132516747
sh,bs,19.3643452896788
mk,bs,17.985249207319143
bg,bs,14.350822709027485
ru,bs,14.046576402350562
sk,bs,12.68389837236512
sl,bs,12.112619191084825
uk,bs,11.712014970340498
pl,bs,10.34875291862824
cs,bs,10.28175082937678
nb,bs,9.88033148557802
de,bs,9.607653516275487
tk,bs,8.565856769349466
be,bs,8.119962008594596
el,bs,7.990959145698309
mt,bs,7.512994080688096
ro,bs,7.421937858062717
li,bs,7.2290545446527
lv,bs,7.182059377241293
ig,bs,7.164526181322534
sq,bs,7.071034553966914
fy,bs,6.939860293837032
lt,bs,6.357987010201889
cy,bs,6.270367454671813
af,bs,6.181056409981782
zu,bs,6.118829481791146
zh,bs,5.742226839252539
ky,bs,5.732639152393865
nn,bs,5.3696587212769975
it,bs,5.179765715993729
fr,bs,4.84482453207278
et,bs,4.836631669204543
id,bs,4.828700445818462
ga,bs,4.824913541006713
da,bs,4.759009107641903
ms,bs,4.75052796719864
he,bs,4.737085192741443
nl,bs,4.586391791945824
hu,bs,4.523116612249524
pt,bs,4.413334510787984
es,bs,3.9619984447667456
br,bs,3.911392107511835
kk,bs,3.749918649918248
mg,bs,3.7265488288369375
sv,bs,3.678417966964447
ca,bs,3.592646949554642
an,bs,3.427028712596837
tr,bs,3.112364698073625
no,bs,3.072447543427557
gl,bs,3.066944605434325
vi,bs,2.9306527797968185
fi,bs,2.461416377517179
gu,bs,2.4305057171722617
eo,bs,2.3194656425934164
ml,bs,2.20763605319104
hy,bs,2.206926596801936
as,bs,2.0737222861736515
ar,bs,2.0542882250157133
km,bs,2.0118230923753067
yo,bs,2.0116015789828774
te,bs,2.007346742681058
wa,bs,1.9975152005044077
eu,bs,1.8844559232391112
ta,bs,1.6743079541153032
se,bs,1.573727433571958
rw,bs,1.539901268608392
th,bs,1.49167067867046
my,bs,1.449456292715058
si,bs,1.418033692795598
xh,bs,1.3365576806507298
hi,bs,1.327596358454382
ne,bs,1.2802352627499192
ku,bs,1.270396110819822
bn,bs,1.2511620081256325
mn,bs,1.2231715342927638
ur,bs,1.1060846035324496
oc,bs,1.037495660403272
yi,bs,1.0227733646705417
ps,bs,1.009392333398981
ko,bs,1.006925776487286
kn,bs,0.951869880198948
dz,bs,0.8389340513332891
uz,bs,0.8379515991494262
is,bs,0.8350494906992101
or,bs,0.8077184890101795
fa,bs,0.7080364561447482
ja,bs,0.6811432102244007
pa,bs,0.6070243477384879
az,bs,0.5107047388783422
mr,bs,0.4689308114156565
am,bs,0.4218942653421608
tg,bs,0.2573922423832453
tt,bs,0.1605848925212623
ha,bs,0.1414444703365736
ka,bs,0.09572461279646
ug,bs,0.0643139676625525
gd,ca,54.45795513820264
ca,ca,37.28755506058337
es,ca,26.405503728754887
tk,ca,19.543657851436237
an,ca,17.635674118536524
ig,ca,17.445695725682793
pt,ca,15.91077538780792
fr,ca,15.481433179144204
ky,ca,14.949585412316043
it,ca,13.952584233698756
gl,ca,13.835381736594426
de,ca,13.232320587355847
oc,ca,13.187452906210009
el,ca,11.960781875997878
zu,ca,11.764551815345488
ru,ca,11.5548634830136
ro,ca,11.542664464539932
fy,ca,11.19933928233256
km,ca,11.091503094435064
nb,ca,10.96472494353301
gu,ca,9.702260844156964
be,ca,9.528498322461148
mt,ca,9.289936022235096
mk,ca,9.203878389725938
af,ca,9.176124710105
cy,ca,8.868458951877965
nn,ca,8.590382869122351
kk,ca,8.285037197004492
wa,ca,8.061194216304617
et,ca,7.9661753251015295
he,ca,7.78820689265982
ne,ca,7.701046833640208
uk,ca,7.430913737308365
li,ca,7.33908303788911
cs,ca,7.18881090447792
dz,ca,7.067215114722024
ps,ca,6.885109780706428
sq,ca,6.601237976490792
or,ca,6.479812610585074
bg,ca,6.39681697301924
nl,ca,6.007164375645326
sh,ca,5.960308639809026
br,ca,5.903284701463876
se,ca,5.792592823402571
ga,ca,5.466943879178304
zh,ca,5.44995107208423
lv,ca,5.418401991737114
mg,ca,5.402408640967201
eo,ca,5.156914689241481
as,ca,4.941863964529282
ms,ca,4.926149889370175
da,ca,4.905736773364104
lt,ca,4.898865313750995
id,ca,4.856635219111814
yo,ca,4.793001641631548
yi,ca,4.729151910866136
pa,ca,4.723216917715758
mn,ca,4.5852613354815706
sk,ca,4.574975760724168
sv,ca,4.395112875970741
th,ca,4.182727637191297
kn,ca,4.10828151870078
vi,ca,3.998722123352828
hu,ca,3.867997708208657
my,ca,3.4606313005359883
ta,ca,3.3434142206775443
pl,ca,3.293970325930918
te,ca,3.224703003262179
sl,ca,3.153387972732287
ko,ca,2.986029064689386
hy,ca,2.974436761580668
hr,ca,2.8220748447361617
ar,ca,2.7986622024001027
ml,ca,2.4860027724616574
bn,ca,2.4638064150102794
rw,ca,2.459613557472833
eu,ca,2.4552096689333887
xh,ca,2.416430641204843
fa,ca,2.416270708166525
tr,ca,2.3735524883519803
no,ca,2.35927258320032
hi,ca,2.3324232246729344
mr,ca,2.33012814164015
ja,ca,2.308166831889388
ku,ca,2.2986995917492874
fi,ca,2.252089404077679
bs,ca,2.241412599631857
si,ca,2.0776757245670336
sr,ca,2.0384119332765493
is,ca,1.360516412846065
uz,ca,1.3457340320543698
tg,ca,0.8978036031650075
ur,ca,0.6793227652264686
ka,ca,0.5301841099654405
am,ca,0.4940887156332979
az,ca,0.2898915237040726
ha,ca,0.1531651489257557
ug,ca,0.111213836945217
tt,ca,0.0773558383125006
gd,cs,55.9380508334498
cs,cs,33.398241315335945
sk,cs,24.951817038019637
tk,cs,19.13821159522601
ig,cs,12.816199289123336
zu,cs,12.49229879463826
de,cs,12.340706422352994
et,cs,8.558535690189835
mt,cs,8.441276800249865
ro,cs,8.321987913363778
kk,cs,8.298355123918489
pl,cs,8.019068373733042
nb,cs,7.855796241341365
ru,cs,7.793289627888078
be,cs,7.459974349798602
li,cs,7.274029412489925
yo,cs,7.199193611343211
sh,cs,7.138128483974088
dz,cs,7.106677277440276
nn,cs,6.841403016468953
hr,cs,6.502722335172431
bs,cs,6.453683391734642
af,cs,6.435549219269583
cy,cs,6.421027577624516
lv,cs,5.820750174674632
fr,cs,5.776483330417902
fy,cs,5.665635823349915
ga,cs,5.626125074790457
ky,cs,5.583717605097466
it,cs,5.319419398686708
sr,cs,5.228341396342034
mg,cs,5.167031344259733
lt,cs,5.028915032423642
sq,cs,4.914223156702931
bg,cs,4.680762539370374
oc,cs,4.6694890472786295
sl,cs,4.6282992902224125
pt,cs,4.563072670398901
gu,cs,4.432123289354086
ca,cs,4.248648984535798
vi,cs,4.178194018427064
nl,cs,4.115988151473823
hu,cs,4.053596871068071
da,cs,4.012446937753512
br,cs,3.975451752533434
es,cs,3.929787161204594
ms,cs,3.899743206133015
id,cs,3.705667396111601
uk,cs,3.5768362299409
as,cs,3.53069375014184
ne,cs,3.5030974241511545
sv,cs,3.4046030228507567
zh,cs,3.1522799151727305
se,cs,2.8997319646525117
mk,cs,2.896881362859076
fi,cs,2.7415887115288067
gl,cs,2.7362065580991914
km,cs,2.714884947450761
tr,cs,2.691374240132732
wa,cs,2.6839575833443305
he,cs,2.636411239194107
rw,cs,2.491615606872701
el,cs,2.456575795679109
an,cs,2.2127728344411257
no,cs,2.1987275064623084
xh,cs,2.130372072990628
eu,cs,2.115291668867679
my,cs,1.9684579255485284
ta,cs,1.860534887070656
bn,cs,1.6958723656680386
ku,cs,1.64896876412113
mn,cs,1.5622867724877705
eo,cs,1.5573787499282357
ps,cs,1.5548567708292025
uz,cs,1.3917364768560188
is,cs,1.3137463122848083
th,cs,1.2966646431553488
ar,cs,1.25626962542072
or,cs,1.2133990170676427
hy,cs,1.1713297658704651
kn,cs,1.1384128148849988
hi,cs,1.0921164645443024
pa,cs,0.9403444978071608
te,cs,0.9034664079153468
yi,cs,0.8943736406574853
mr,cs,0.8820980274816526
si,cs,0.6964650392318537
ko,cs,0.6479007348801381
fa,cs,0.5939617260622573
ja,cs,0.5436330532341623
ml,cs,0.4849951551413577
tg,cs,0.3694789879156759
az,cs,0.3198688655331275
ur,cs,0.3113479771446011
am,cs,0.1589844757724492
ha,cs,0.1459219737556646
ug,cs,0.0863300979783677
tt,cs,0.0793424468058207
ka,cs,0.0777238572158584
gd,da,53.292744666098045
da,da,35.68729710123186
nb,da,30.20348181964125
no,da,20.14032917269224
tk,da,19.924308468500108
de,da,12.857550942530532
sv,da,12.395813964698656
zu,da,11.970724199316995
ig,da,11.85065460882641
li,da,11.352887764829836
nn,da,10.5120844827479
et,da,9.852348586047258
yo,da,8.941589159432349
mt,da,8.53440412556359
ro,da,8.468487491243788
kk,da,8.039349664601398
dz,da,7.756404418882579
be,da,7.755745436706912
gu,da,7.650379297058611
cs,da,7.064760071902203
ru,da,6.8384529327903065
zh,da,6.5093934790024255
oc,da,6.410507423619728
sh,da,5.848396243975966
fr,da,5.791210830230463
lv,da,5.76717832473057
ga,da,5.555399601275001
as,da,5.50966697685778
it,da,5.48999090682759
ky,da,5.398254262872106
vi,da,5.35894551504754
cy,da,5.189460028707943
lt,da,5.175898651464582
mg,da,5.131213285446329
or,da,4.80443471616598
nl,da,4.616982032199506
sq,da,4.5844652994195005
pt,da,4.5659559175771065
ca,da,4.294808610670946
af,da,4.248686625037964
sk,da,4.217188577037261
se,da,4.017902193819662
es,da,3.9775569587700272
br,da,3.772713896015671
hu,da,3.767501561718828
pa,da,3.729005235869983
km,da,3.423567155647416
ms,da,3.37037321635664
fy,da,3.306548918696956
id,da,3.253906134984396
pl,da,3.032133607327927
el,da,2.947160971171859
uk,da,2.898174401321275
hr,da,2.8050031943912286
sl,da,2.7605906810074106
fi,da,2.75816550102101
kn,da,2.72578406303393
my,da,2.646504245292438
ne,da,2.538222017812393
he,da,2.4779545316633467
tr,da,2.4474776100527285
ar,da,2.440561678375979
xh,da,2.379558100408884
gl,da,2.354114056431411
wa,da,2.31811881318191
is,da,2.2383629912348773
te,da,2.1747326181846507
mk,da,2.167949133306621
rw,da,2.16453061057474
bs,da,2.1149620732106
ps,da,2.058353751894346
eu,da,2.0367204776307504
an,da,1.92608762867962
mr,da,1.8564462076737196
ta,da,1.6789362634460594
ku,da,1.6701444865867383
bg,da,1.5951589572407263
sr,da,1.528003205530276
uz,da,1.477986259623938
th,da,1.434709478659678
ja,da,1.399581500378171
ko,da,1.3604442386399835
bn,da,1.342330753555388
eo,da,1.2904538973911606
hy,da,1.2808585798774887
hi,da,1.256146299816852
mn,da,1.2209641946790044
yi,da,1.0185772163464393
ml,da,0.9903378889889808
si,da,0.9552534498424636
fa,da,0.806604794124109
tg,da,0.6810832753160604
ka,da,0.4738593184719599
ur,da,0.4117430818612838
az,da,0.3201243469427445
am,da,0.2838059089399813
ha,da,0.1440650426598775
ug,da,0.0967453086814836
tt,da,0.0774796290807466
gd,de,59.94793252385704
de,de,34.132377237781824
tk,de,20.555635477162653
ig,de,17.125640466076096
ru,de,13.3733306825622
zu,de,12.769929061961184
yo,de,11.973837693151204
it,de,11.739249884516676
ky,de,11.367268515682278
li,de,11.110176077034184
et,de,9.975317986172122
fy,de,9.613157337507928
af,de,9.029230048905111
cy,de,8.881382247186352
mt,de,8.846214688583833
fr,de,8.78204675321631
nb,de,8.699510632257311
zh,de,8.647630848293135
cs,de,8.597462591775656
be,de,8.527199388429066
ro,de,8.473252536417256
dz,de,8.148746806153948
kk,de,7.82760636139566
nn,de,7.6715597943783695
es,de,7.105077574115448
sh,de,5.957093847068485
wa,de,5.820445102112331
br,de,5.791938689627992
oc,de,5.748778018103868
lv,de,5.735249289322633
id,de,5.490651728409564
ga,de,5.390383416668299
pt,de,5.3825381935260905
sq,de,5.320305728674366
mg,de,5.316860496555878
lt,de,5.305971278643552
ms,de,5.294131218213085
vi,de,5.212388877447795
sk,de,5.062709911366771
da,de,5.028929521452346
nl,de,4.81655818803739
el,de,4.715529286679671
ca,de,4.584370997138836
uk,de,4.522351304615508
se,de,4.463396658873659
ne,de,4.189403314366389
gu,de,4.180473230412264
an,de,3.833989401442397
hu,de,3.729526756364085
mn,de,3.728310323950661
sv,de,3.716620663456349
he,de,3.710833235058912
no,de,3.606631116188227
gl,de,3.3403052094035157
km,de,3.339621578970414
pl,de,3.329002514066401
sl,de,3.3195705824488733
as,de,3.097606193948997
mk,de,3.0574736545254035
bg,de,3.0007392615720097
rw,de,2.954407992313968
fi,de,2.780004159405373
xh,de,2.730441706974053
te,de,2.722933377855775
tr,de,2.65436258300434
hr,de,2.6409218132746903
ku,de,2.593660520189899
kn,de,2.530962868146542
th,de,2.483999676503665
yi,de,2.476060901360932
ta,de,2.471579398099105
ar,de,2.47115243065899
eu,de,2.425448086714011
or,de,2.377789728270755
bs,de,2.2799782606669576
hi,de,2.212781079020757
my,de,2.168452354150645
eo,de,2.152741627458401
bn,de,2.087935875832694
sr,de,1.9330698805348323
ko,de,1.6620608267293708
mr,de,1.6582715098863086
ps,de,1.538924495981483
fa,de,1.4749549182574178
ja,de,1.4064904752750866
uz,de,1.3476272038560646
is,de,1.1270628600435018
pa,de,1.0084893973457263
ml,de,0.9404672542718284
hy,de,0.9047724655303716
tg,de,0.8804261365012703
si,de,0.8687610293318181
ur,de,0.507873754623025
az,de,0.2814950373232658
am,de,0.2499283200974983
ka,de,0.1944322684594543
ha,de,0.1432313850721651
ug,de,0.1067414554028442
tt,de,0.0894875063399607
gd,el,57.42224051652845
el,el,31.610741632304634
ig,el,15.845817254450967
de,el,12.082455902814075
zu,el,11.886068073083823
he,el,11.429374127631752
tk,el,11.345659111240682
li,el,10.017314364704388
et,el,9.08734452151118
mt,el,8.75229362300434
ru,el,8.217649404568371
nb,el,7.715884752697473
fy,el,7.711156100811135
cs,el,7.667948085649213
ro,el,7.566757645275525
gu,el,7.432935605875489
cy,el,6.822836104079234
nn,el,6.657693260538711
af,el,6.431903139783542
ky,el,6.103636278320497
fr,el,5.994306566170988
uk,el,5.9185940013057134
be,el,5.814697944475859
lv,el,5.804519293618007
sh,el,5.749308929491936
zh,el,5.453474525536191
ga,el,5.439470710141109
kk,el,5.438204227779932
it,el,5.4152662736457176
sq,el,5.234057952315618
km,el,5.230310507954474
lt,el,4.9934201464510535
mk,el,4.913220876485696
mg,el,4.886302655874578
vi,el,4.748228271987276
pt,el,4.696507630971606
br,el,4.599706834518541
sk,el,4.484985214069087
oc,el,4.345840725347822
es,el,4.260724695861259
ms,el,4.225716332433632
nl,el,4.207820137366978
ca,el,4.20716226014582
id,el,4.125443671796757
hy,el,4.016153302124372
da,el,3.943997487339953
se,el,3.9184760011521655
te,el,3.8736325731722743
wa,el,3.826544159298177
th,el,3.765030659676514
hu,el,3.716702152696452
yi,el,3.679407662285628
yo,el,3.593084825458467
bg,el,3.4445921304189167
sv,el,3.3184979564146344
ml,el,3.297735199484967
as,el,3.291937637352039
pl,el,3.1464645443401262
si,el,3.0562977276847456
sl,el,2.986967388663728
ne,el,2.9672065118566238
gl,el,2.947904365498505
bn,el,2.818223967794479
tr,el,2.7745735786415318
or,el,2.762666534328845
kn,el,2.6683888346294173
hi,el,2.627437484633029
hr,el,2.6067419862901766
xh,el,2.5485522098705853
fi,el,2.536648116336654
my,el,2.5018813929285773
ko,el,2.409426648140254
ta,el,2.3272535575120514
rw,el,2.2826410955923926
an,el,2.2688995648525205
mn,el,2.246061513333925
no,el,2.1944995530008065
eu,el,2.190667922280178
bs,el,2.1655669651252434
pa,el,2.0851265699182218
ar,el,1.833038475100382
ku,el,1.7940121884732945
sr,el,1.6596663728492005
fa,el,1.659197188358225
mr,el,1.5622704131433194
uz,el,1.3356133048253875
eo,el,1.313800423608214
is,el,1.2400380552359132
ps,el,1.2126174746985667
ja,el,0.9207865230624762
dz,el,0.708206336446325
tg,el,0.6855850374063499
ur,el,0.6318962325331074
ka,el,0.4313644509834523
am,el,0.3955089231342304
az,el,0.2859175662282837
ha,el,0.1469319639214162
tt,el,0.0797024640932789
ug,el,0.0490933723204805
gd,es,60.25089667528254
es,es,38.64897419793669
tk,es,20.753076665813463
ig,es,17.43815152415258
gl,es,16.718346668599462
ca,es,15.109726019255316
an,es,15.070767009686325
ky,es,14.346299176618622
de,es,13.444768126883371
pt,es,12.838612390472894
zu,es,12.70547122021486
li,es,11.616435764667596
gu,es,9.774086573500858
he,es,9.661914668891178
et,es,9.4207911197426
as,es,9.136098678458776
it,es,9.044413306935054
mt,es,8.863207580735553
ro,es,8.843941796299847
yo,es,8.522283266862086
cs,es,8.51274053289849
af,es,8.235124500853042
kk,es,8.234735737264169
cy,es,8.183835312771743
ru,es,8.136127603596533
fy,es,8.065619581898838
dz,es,7.818408256727777
nb,es,7.784023425471127
mk,es,7.513929532819629
oc,es,7.485383029493987
be,es,7.358186428295601
el,es,7.252966032924147
ne,es,7.241310757727012
nn,es,7.232203382498356
fr,es,6.493156903002292
ps,es,6.437262661774079
sh,es,5.935412101064564
yi,es,5.773257621253666
lv,es,5.695165886921385
vi,es,5.551336743172318
ga,es,5.526951368968327
sq,es,5.476949296035207
or,es,5.313916445904923
wa,es,5.222979543159276
mg,es,5.211687963798365
lt,es,5.202029197339315
sk,es,4.873935600103095
id,es,4.746173753454163
km,es,4.68827102970284
ms,es,4.60569412541664
mn,es,4.569245165575734
br,es,4.435954967508551
zh,es,4.278991121773365
nl,es,4.133413075689604
uk,es,3.945696918426015
da,es,3.697532340645134
hu,es,3.689158551843588
bg,es,3.666937439752537
se,es,3.52617330933724
pa,es,3.424363178632792
kn,es,3.3951568755963537
sl,es,3.3699674815526395
sv,es,3.277962516916044
my,es,3.2721868142034274
pl,es,3.136713294293468
eo,es,3.09339179624789
ta,es,3.070827423449442
rw,es,2.826045276597344
hr,es,2.72672160636769
ar,es,2.702582778319973
tr,es,2.655138945631847
ku,es,2.6009909503118647
eu,es,2.5506831724188617
fi,es,2.4991005734914977
xh,es,2.4615752921133462
hy,es,2.2789306689193416
bs,es,2.25578319016172
te,es,2.2189416828953084
mr,es,2.182440898687072
sr,es,2.061870385822453
th,es,2.060458752873951
hi,es,2.0452418034198945
bn,es,2.043746306263873
no,es,1.9803331037362724
ml,es,1.692109273385046
uz,es,1.5203730759487015
ko,es,1.3099689444370686
si,es,1.2832843267328629
fa,es,1.2038867060247591
is,es,1.1975443049908268
ja,es,0.9009182590100284
tg,es,0.7950155705686209
ka,es,0.6585516613033328
ur,es,0.559907935287264
az,es,0.3212310892649366
am,es,0.2201448228074229
ha,es,0.151309613949549
ug,es,0.10246418535499
tt,es,0.087356732043626
gd,et,57.728145121602736
et,et,34.03231026712948
ig,et,16.216333885819804
tk,et,13.360870323971374
de,et,11.9950195290316
zu,et,10.574650764526396
li,et,9.465149946435774
mt,et,8.87009347707923
ro,et,8.198999602091863
cy,et,8.121408997592006
fy,et,8.03778512276701
af,et,7.860154423430413
cs,et,7.447343863503973
nb,et,7.310767842702905
dz,et,7.123873548457185
lv,et,6.66096271020166
wa,et,6.500224895117875
nn,et,6.394125305049205
sh,et,6.041910338946618
ky,et,5.980728027212885
fr,et,5.9715057334652775
yo,et,5.575428590197165
it,et,5.511804807811785
ga,et,5.433758923054452
oc,et,5.3809486536893765
br,et,5.3261588582631045
ru,et,5.304835301447549
lt,et,5.201321650937191
zh,et,4.940252047487842
fi,et,4.928586597156992
sk,et,4.89722145040871
sq,et,4.746008289776813
id,et,4.663452790717261
mg,et,4.537281649837448
ms,et,4.504502947488814
pt,et,4.2520405943371244
