task_lang,transfer_lang,uas,las
hyw,af,0.5802386776369431,0.3637239641242309
bej,af,0.2070119655258974,0.0738850305413773
pt,af,0.7117370300357068,0.5731905061961773
fa,af,0.4850710959484025,0.34855691411211
wo,af,0.2830914159377102,0.0433528789772181
da,af,0.6685623066946024,0.5185074329043201
nhi,af,0.3266039530704999,0.1192262974315611
bor,af,0.2469249692496924,0.0933579335793357
sl,af,0.6466822201725354,0.493190819814443
nmf,af,0.2513495276653171,0.1076248313090418
mt,af,0.2484421565971281,0.0637586923146392
xum,af,0.216867469879518,0.0430292598967297
aqz,af,0.3569482288828338,0.1934604904632152
fro,af,0.5716596973317404,0.3867731979291119
sq,af,0.7148377125193199,0.5340030911901081
id,af,0.6499769657881338,0.4352981111946269
bg,af,0.7417959806664971,0.587954718901043
tr,af,0.606992193660306,0.3974530831099195
sme,af,0.2468531468531468,0.098001998001998
akk,af,0.2737522731865023,0.0485754697918771
grc,af,0.4946995674488446,0.2867388332324794
ckb,af,0.2868852459016393,0.1147540983606557
sv,af,0.7320332782629219,0.5653616945952324
hr,af,0.6801319043693322,0.5358615004122012
az,af,0.7050438596491229,0.5032894736842105
cop,af,0.0543554332104698,0.0012130826295898
la,af,0.5182028985507247,0.3338743961352657
pay,af,0.3335672514619883,0.095672514619883
gn,af,0.3870967741935484,0.0829493087557603
fo,af,0.6297865493939719,0.4891129464764561
quc,af,0.3193847997603116,0.117247578148407
eu,af,0.6219742348404037,0.4031344875687208
say,af,0.280844793713163,0.0472495088408644
ota,af,0.443372887752107,0.2249989517380183
vi,af,0.5958026509572901,0.3702503681885125
cpg,af,0.5473845480411469,0.314510833880499
gu,af,0.6456233421750663,0.4413793103448276
mdf,af,0.2674280275993338,0.1134903640256959
uk,ar,0.5253798097401675,0.4271262246201903
am,ar,0.5433566433566434,0.2277722277722277
ka,ar,0.4367459496725267,0.2986162407051755
ceb,ar,0.4865649963689179,0.2570806100217865
sd,ar,0.3689302830273985,0.2121349127407541
urb,ar,0.2377049180327868,0.0546448087431694
sab,ar,0.2528566162919277,0.1028381865093991
ltg,ar,0.6058823529411764,0.3588235294117647
oc,ar,0.4170554948873225,0.2488831529832224
cy,ar,0.6053682603077646,0.3774227651826618
ht,ar,0.3000751879699248,0.1016541353383458
mpu,ar,0.2584269662921348,0.0786516853932584
yo,ar,0.207570059444377,0.0634477738687371
xcl,ar,0.4586851086761271,0.2522004670379019
sk,ar,0.5884337727558067,0.4904268675455116
ps,ar,0.411851487582985,0.3036636341283501
ctn,ar,0.2440024605290137,0.0911079215364636
gd,ar,0.5352458242898933,0.3482117580447296
bho,ar,0.2199549887471868,0.0924231057764441
th,ar,0.6212974377769633,0.3371872188718222
olo,ar,0.385752688172043,0.2331989247311827
sga,ar,0.3691588785046729,0.1051401869158878
ab,ar,0.2014170996693434,0.1024090694378838
cu,ar,0.4470002489419965,0.2262882748319641
koi,ar,0.2917166866746699,0.1596638655462184
ang,ar,0.2456140350877192,0.1345029239766081
bm,ar,0.2218765825074151,0.0435506040656876
got,ar,0.2824083153559521,0.0911943518336928
gya,ar,0.1924219910846954,0.0248885586924219
myu,ar,0.2142857142857142,0.0577299412915851
ug,ar,0.3036786060019361,0.1839303000968054
eo,ar,0.459605026929982,0.3722321962896469
pl,ar,0.6292583569631375,0.494109189664124
sdh,ar,0.1397058823529411,0.0588235294117647
ajp,ar,0.5906210392902408,0.4309252217997465
egy,ar,0.3497085048010974,0.0772462277091906
ess,ar,0.338785046728972,0.1024143302180685
af,ar,0.4532445592765577,0.2725827288085064
arr,ar,0.3833548943510134,0.1323846485554118
arh,ar,0.2798191068400226,0.0702845298662144
xpg,ar,0.1991701244813278,0.0438648488441019
azz,ar,0.4011697065820777,0.1854678826328311
bar,ar,0.3697126895450918,0.1922053737696195
orv,ar,0.4487012987012987,0.2919642857142857
yrl,ar,0.3160051984404678,0.1025692292312306
sa,ar,0.2223862568782713,0.0491656600903681
ru,ar,0.5209518955140825,0.423204440557969
de,ar,0.4249848759830611,0.30371709306637
aii,ar,0.108167770419426,0.0375275938189845
vep,ar,0.3369148119723714,0.1757482732156561
aln,ar,0.408130081300813,0.192057535959975
ga,ar,0.522172215235952,0.3379773644847442
pro,ar,0.3821395729028303,0.2543169510575253
ro,ar,0.6058886378365124,0.4705305378943127
ja,ar,0.2096475988588004,0.0132528968298241
jaa,ar,0.3565217391304348,0.1217391304347826
hbo,ar,0.3526230394808004,0.1965927528393726
ky,ar,0.332232547423393,0.2386913447507871
yue,ar,0.3261244431671217,0.148584566748096
ml,ar,0.3121098626716604,0.1760299625468165
pcm,ar,0.370383275261324,0.2092682926829268
xav,ar,0.3014738722644037,0.0777132648503796
el,ar,0.5237788743474219,0.3777444039190445
si,ar,0.3625,0.1943181818181818
hit,ar,0.1145912910618792,0.0259740259740259
sr,ar,0.5535417213904211,0.4260572629366955
ta,ar,0.4644653400393614,0.3197026022304832
lt,ar,0.4791701663027045,0.3502435746682345
ca,ar,0.4365542694178829,0.3178158027176648
sjo,ar,0.0911275656014549,0.0106521174330995
mk,ar,0.7411764705882353,0.5602941176470588
frm,ar,0.4217687074829932,0.2979688329232402
be,ar,0.5209532149111834,0.4365774330748061
et,ar,0.4604248827433987,0.3143612963954753
xnr,ar,0.2824184566428003,0.0978520286396181
abq,ar,0.1395705521472392,0.0276073619631901
eme,ar,0.3539364640883978,0.1698895027624309
ur,ar,0.2492908280426854,0.1360259354315817
fr,ar,0.4448636683771003,0.3248566254150317
hy,ar,0.4094544757890703,0.2531251496719192
no,ar,0.5285628162735893,0.407332980142129
es,ar,0.4654258610022685,0.3512270571251804
apu,ar,0.26,0.114
mr,ar,0.4466019417475728,0.2864077669902912
myv,ar,0.2588144874627726,0.1369007589585935
is,ar,0.5014973238130357,0.3679338048785938
nl,ar,0.4609025748607677,0.336330261481981
it,ar,0.4428427105999378,0.3144389182468138
nap,ar,0.472636815920398,0.2238805970149253
otk,ar,0.2278481012658227,0.0759493670886076
ckt,ar,0.2637165251469627,0.1027106466361855
sms,ar,0.2667378917378917,0.1306980056980057
yi,ar,0.4596186482978935,0.3346311270839572
lv,ar,0.4761142674241818,0.3519778080072551
fi,ar,0.4955066710772963,0.3302596758187231
gwi,ar,0.5505952380952381,0.4117063492063492
zh,ar,0.2242524156248569,0.0862641388469112
ar,ar,0.4694870438921206,0.3785461497783021
gv,ar,0.3114912535034309,0.1110466801971585
krl,ar,0.4217840982546865,0.2569489334195216
bn,ar,0.5125,0.33125
wbp,ar,0.1523809523809524,0.0412698412698412
br,ar,0.5033979612232661,0.2730361782930242
kk,ar,0.3642450284800639,0.2415309283501548
cs,ar,0.5294417137208705,0.4052240321728886
kmr,ar,0.5619446940201657,0.4022162324049116
ko,ar,0.3244443919326063,0.1627184328367026
hsb,ar,0.364287633204979,0.2798423927643951
sah,ar,0.2267123287671233,0.0828767123287671
jv,ar,0.5525343373073973,0.3593390504078644
pad,ar,0.251984126984127,0.1388888888888889
te,ar,0.5783633841886269,0.4452149791955617
or,ar,0.2837706511175898,0.1661807580174927
uz,ar,0.3319955406911928,0.1985507246376811
hu,ar,0.3927067381316999,0.2626339969372128
lzh,ar,0.2674204295739704,0.1117884738073296
gun,ar,0.1310260524104209,0.0103904041561616
en,ar,0.4778359788097586,0.3271305459609199
tt,ar,0.2267543859649123,0.1092105263157894
scn,ar,0.4283291681542306,0.2272402713316672
lb,ar,0.3834951456310679,0.1504854368932038
hi,ar,0.290909397728615,0.1636375909144602
gub,ar,0.2481441048034934,0.098471615720524
tpn,ar,0.278393966282165,0.135980479148181
kpv,ar,0.239593511823334,0.1072894273988665
tn,ar,0.3644859813084112,0.1495327102803738
wuu,ar,0.2848970251716247,0.120137299771167
he,ar,0.5904061553127021,0.4437068055697409
nds,ar,0.3406543333637109,0.1734256812175339
ha,ar,0.2679446481955188,0.0995161340031435
gsw,ar,0.2794986656500191,0.1171845215402211
gl,ar,0.5039930555555555,0.3734848484848485
yrk,ar,0.1784591194968553,0.0455974842767295
tl,ar,0.6034953577280174,0.4227198252321136
naq,ar,0.2250577901063337,0.0903374942209893
bxr,ar,0.2752019144481005,0.1269318974972579
lij,ar,0.4188301999403163,0.2062071023575052
hyw,ar,0.4500778296642206,0.2472759617522793
bej,ar,0.165090787381809,0.0360639277047945
pt,ar,0.4918588531821046,0.3655450535601764
fa,ar,0.4711258311128819,0.3798092486988569
wo,ar,0.2839565509949053,0.0704604441026627
da,ar,0.4648308889554026,0.3566796368352788
nhi,ar,0.371947997040482,0.1407885001585456
bor,ar,0.2719557195571955,0.1121156211562115
sl,ar,0.486978460202919,0.3519884976398459
nmf,ar,0.2753036437246963,0.0873819163292847
mt,ar,0.2187302447394563,0.0694482073512146
xum,ar,0.2099827882960413,0.0352839931153184
aqz,ar,0.3051771117166212,0.1464577656675749
fro,ar,0.4101204699322979,0.2699372759856631
sq,ar,0.6738794435857806,0.5247295208655333
id,ar,0.647212860364183,0.4761292825449167
bg,ar,0.5831213431696769,0.458407529890613
tr,ar,0.392879671976029,0.2333425327235452
akk,ar,0.2568195595069711,0.0793695696100222
sme,ar,0.2277722277722277,0.0985014985014985
grc,ar,0.4327528631300567,0.2636096730092561
ckb,ar,0.2295081967213114,0.0737704918032786
sv,ar,0.5191763039886712,0.3961971914090158
hr,ar,0.5415086562242374,0.4111706512778236
az,ar,0.5383771929824561,0.3870614035087719
cop,ar,0.0755377222040778,0.0173564130079783
la,ar,0.4899323671497584,0.3276328502415458
pay,ar,0.3094736842105263,0.0849122807017543
gn,ar,0.3824884792626728,0.1290322580645161
fo,ar,0.477367800064357,0.3734849297436447
quc,ar,0.3984819734345351,0.1738739638469989
eu,ar,0.4662755395093132,0.2692623287109215
say,ar,0.2595284872298625,0.0803536345776031
ota,ar,0.2998867877059835,0.1502369072078493
vi,ar,0.5501472754050074,0.3331369661266568
cpg,ar,0.4626833005033924,0.252790544977019
gu,ar,0.3809018567639257,0.2116710875331565
mdf,ar,0.278372591006424,0.1422793242921722
ab,is,0.3140292867264997,0.1795937647614549
abq,is,0.147239263803681,0.0383435582822085
af,is,0.7641856305276756,0.5668289774421147
aii,is,0.075055187637969,0.0264900662251655
ajp,is,0.596958174904943,0.4017743979721166
akk,is,0.2653465346534653,0.0422711658920994
aln,is,0.516072545340838,0.2706066291432145
am,is,0.5308691308691309,0.212087912087912
ang,is,0.3790426908150064,0.118154376886589
apu,is,0.255,0.106
aqz,is,0.3453678474114441,0.188692098092643
ar,is,0.2788593743643981,0.1939307651629174
arh,is,0.3435085735820614,0.1388731863576408
arr,is,0.3790426908150064,0.118154376886589
az,is,0.6622807017543859,0.5230263157894737
azz,is,0.3783703409992069,0.1731760507533703
bar,is,0.4818435754189944,0.2831870178238893
be,is,0.6540530397798349,0.5425944458343758
bej,is,0.2033302652497698,0.0692829051962179
bg,is,0.7445306537776647,0.5663317222080896
bho,is,0.3356339084771192,0.1725431357839459
bm,is,0.2678868552412645,0.0630832670187368
bn,is,0.665625,0.53125
bor,is,0.269680196801968,0.1055965559655596
br,is,0.6235258844693184,0.3852688386967819
bxr,is,0.4145976667663775,0.2331239405723402
ca,is,0.6837275624895152,0.4518369401107197
ceb,is,0.4473493100944081,0.2047930283224401
ckb,is,0.3934426229508196,0.2295081967213114
ckt,is,0.3029065969954278,0.1278576094056172
cop,is,0.0222087435263378,0.0044324173004245
cpg,is,0.5416940249507551,0.326767345152112
cs,is,0.6842913433805906,0.55083885120039
ctn,is,0.2984074909438862,0.1403868498393821
cu,is,0.50201643017177,0.2602439631565845
cy,is,0.603899917772818,0.3652648889933043
da,is,0.6880175596128904,0.5624064651302005
de,is,0.7650801085026248,0.5878900532755693
egy,is,0.3521947873799725,0.0661865569272976
el,is,0.7075377243796038,0.5273546449259815
eme,is,0.3297651933701657,0.1691988950276243
en,is,0.6846142791303874,0.5419815551734221
eo,is,0.6801316576900059,0.5191502094554159
es,is,0.6940709424623633,0.4572179830892968
ess,is,0.2967289719626168,0.0595794392523364
et,is,0.6503724621451872,0.5106382978723404
eu,is,0.6212357430048412,0.4591367850988758
fa,is,0.4915456831934656,0.3694001045894862
fi,is,0.6849707795787848,0.549026904840666
fo,is,0.7322213879652473,0.643140619972112
fr,is,0.6655934533990676,0.451629942650166
frm,is,0.6516620832730255,0.4589183191006899
fro,is,0.6043906810035843,0.4092741935483871
ga,is,0.5658216956780727,0.3632272155668806
gd,is,0.5838444842880061,0.3732188355194866
gl,is,0.6889204545454546,0.4276515151515151
gn,is,0.3732718894009216,0.1013824884792626
got,is,0.2769170425573642,0.0943322220043145
grc,is,0.5400389968399113,0.3758040296734575
gsw,is,0.3687094929470072,0.1673179565383149
gu,is,0.5671087533156499,0.4
gub,is,0.2346069868995633,0.0609170305676855
gun,is,0.181220872488349,0.0286500114600045
gv,is,0.3955735962114622,0.1209046100318933
gwi,is,0.560515873015873,0.4851190476190476
gya,is,0.2035661218424962,0.025260029717682
ha,is,0.2829845594353869,0.1156347274016087
hbo,is,0.405151433207139,0.2156571119524067
he,is,0.651244340040173,0.4561331835359003
hi,is,0.4649251590475708,0.2856274996203108
hit,is,0.1650114591291062,0.0313216195569136
hr,is,0.703957131079967,0.5660346248969497
hsb,is,0.5148204531208024,0.4024357481866213
ht,is,0.3078195488721804,0.0921052631578947
hu,is,0.6374425727411945,0.4762633996937213
hy,is,0.5831696920350592,0.4491115474879065
hyw,is,0.6069231339411459,0.4162033948558298
id,is,0.6857891036054603,0.5176393569817909
is,is,0.8194663269752942,0.7614450292201624
it,is,0.7126282250543985,0.4822116879079888
ja,is,0.125152080245241,0.0416420947493133
jaa,is,0.217391304347826,0.0869565217391304
jv,is,0.5636896046852123,0.3845778428501708
ka,is,0.6453439700595853,0.4977593933126508
kk,is,0.5748975716998102,0.450384730688518
kmr,is,0.6241389637616053,0.4384546271338724
ko,is,0.5711568226662098,0.3853397450287699
koi,is,0.3229291716686674,0.1836734693877551
kpv,is,0.2320695720148524,0.1083642759429353
krl,is,0.5158371040723982,0.3577892695539754
ky,is,0.5611704170186622,0.3945165501881575
la,is,0.580512077294686,0.4214685990338164
lb,is,0.3932038834951456,0.1990291262135922
lij,is,0.5037302297821545,0.2527603700387943
lt,is,0.7322213879652473,0.643140619972112
ltg,is,0.4941176470588235,0.3470588235294117
lv,is,0.6365260995972367,0.5135099090448374
lzh,is,0.3965407244630325,0.1667611823917204
mdf,is,0.2607661194384963,0.1203901974779919
mk,is,0.7558823529411764,0.5948529411764706
ml,is,0.5572201414898044,0.4207240948813982
mpu,is,0.2865168539325842,0.0674157303370786
mr,is,0.6019417475728155,0.4514563106796116
mt,is,0.2754447755802402,0.0702609952135825
myu,is,0.2191780821917808,0.0684931506849315
myv,is,0.2482467095782496,0.1168219809779998
nap,is,0.4427860696517413,0.1840796019900497
naq,is,0.2483587609801202,0.1017105871474803
nds,is,0.481727877517543,0.3016495033263465
nhi,is,0.3169855195011098,0.1207060564422365
nl,is,0.7579231287929872,0.5812542144302091
nmf,is,0.2354925775978407,0.1143724696356275
no,is,0.7529183945632912,0.6437640439174994
oc,is,0.7076342698302392,0.4816837089248486
olo,is,0.4529569892473118,0.2836021505376344
or,is,0.4742468415937804,0.3352769679300291
orv,is,0.5631087662337663,0.3941558441558441
ota,is,0.4437921925447607,0.2850433980460397
otk,is,0.1645569620253164,0.0886075949367088
pad,is,0.2638888888888889,0.1488095238095238
pay,is,0.3108771929824561,0.1104093567251462
pcm,is,0.4429965156794425,0.3144947735191638
pl,is,0.7010263988178441,0.558901447075895
pro,is,0.5214059466639419,0.3396342086441197
ps,is,0.6073272682567002,0.4745512662896484
pt,is,0.6847637051039698,0.4541314849821466
quc,is,0.2952162189154099,0.0942774393288724
ro,is,0.6567355017252553,0.478955388576533
ru,is,0.6587466740239517,0.5543496050914907
sa,is,0.2977229007292086,0.0894287120297051
sab,is,0.328418724659049,0.1533357906376704
sah,is,0.2698630136986301,0.1465753424657534
say,is,0.665625,0.53125
scn,is,0.511781506604784,0.2748125669403784
sd,is,0.5348584863007505,0.353015643367393
sdh,is,0.3235294117647059,0.1617647058823529
sga,is,0.4182242990654206,0.139018691588785
si,is,0.6454545454545455,0.3897727272727272
sjo,is,0.0526110678098207,0.0302026500389711
sk,is,0.7462335216572504,0.6178593848085373
sl,is,0.679751505615539,0.5507297487927948
sme,is,0.2258741258741258,0.0905094905094905
sms,is,0.2336182336182336,0.1093304843304843
sq,is,0.7225656877897991,0.5556414219474498
sr,is,0.7384642325540671,0.596795376937221
sv,is,0.7716544725041303,0.6540152230351663
ta,is,0.6840148698884758,0.549529849114367
te,is,0.8196948682385575,0.6920943134535368
th,is,0.5913437510412155,0.3160297204544697
tl,is,0.6242490442381212,0.3762971054068815
tn,is,0.7716544725041303,0.6540152230351663
tpn,is,0.3167701863354037,0.1484028393966282
tr,is,0.5909556852231509,0.4397275666298691
tt,is,0.3412280701754386,0.2162280701754386
ug,is,0.5383349467570184,0.4009680542110358
uk,is,0.6349566945903734,0.5259122533011501
ur,is,0.3668107523976766,0.2208564095636904
urb,is,0.2404371584699453,0.0491803278688524
uz,is,0.5498327759197325,0.4092530657748049
vep,is,0.4121258633921719,0.212586339217191
vi,is,0.5858615611192931,0.391899852724595
wbp,is,0.2571428571428571,0.1365079365079365
wo,is,0.3093338460059598,0.0696914351629337
wuu,is,0.3329519450800915,0.1212814645308924
xav,is,0.2688700312639571,0.0567217507815989
xcl,is,0.4997305550565834,0.2841746003233339
xnr,is,0.3965791567223548,0.1774065234685759
xpg,is,0.2039122703023118,0.0308239478363959
xum,is,0.2185886402753872,0.0370051635111876
yi,is,0.7248677248677249,0.6090645901966657
yo,is,0.2150915928666747,0.0447652553681911
yrk,is,0.2130503144654088,0.0581761006289308
yrl,is,0.2666200139958012,0.0765770268919324
yue,is,0.3737605977870383,0.1766058341715763
zh,is,0.3286394651279937,0.1613660301323441
ab,pcm,0.1555030703826169,0.0920170051960321
abq,pcm,0.1242331288343558,0.0398773006134969
af,pcm,0.668190400476995,0.4990559475305575
aii,pcm,0.6058823529411764,0.3764705882352941
ajp,pcm,0.5614702154626109,0.376425855513308
akk,pcm,0.1630632451000202,0.0100222267124671
aln,pcm,0.5128205128205128,0.2340212632895559
am,pcm,0.6033966033966034,0.2353646353646353
ang,pcm,0.2690058479532163,0.1637426900584795
apu,pcm,0.209,0.117
aqz,pcm,0.2561307901907357,0.1362397820163488
ar,pcm,0.2551926127811902,0.1545865028678354
arh,pcm,0.2492933860938383,0.0742415677407198
arr,pcm,0.3540319103061664,0.1211729193617938
az,pcm,0.680921052631579,0.5274122807017544
azz,pcm,0.3493259318001586,0.1652458366375892
bar,pcm,0.4513833466347433,0.2784650172918329
be,pcm,0.6570552914686014,0.5102576932699525
bej,pcm,0.2103771741254641,0.0938049638460035
bg,pcm,0.7769015517679979,0.6049351310099211
bho,pcm,0.3188297074268567,0.1284321080270067
bm,pcm,0.2238298488027201,0.0678579179628156
bn,pcm,0.6125,0.475
bor,pcm,0.2193111931119311,0.1031980319803198
br,pcm,0.6065360783529882,0.3590845492704377
bxr,pcm,0.3563665370425765,0.1802771961312194
ca,pcm,0.72392216071129,0.5935749035396746
ceb,pcm,0.4684095860566449,0.2004357298474945
ckb,pcm,0.3032786885245901,0.0737704918032786
ckt,pcm,0.2700849118223383,0.1118549967341606
cop,pcm,0.0468436523118555,0.0073718098259693
cpg,pcm,0.551543007222587,0.3070693806084482
cs,pcm,0.6801586979187824,0.5199442119944212
ctn,pcm,0.2045656482810471,0.0871437359032192
cu,pcm,0.4248444112521782,0.1667413492656211
cy,pcm,0.5956184658757195,0.3800070480441677
da,pcm,0.7072732714756061,0.6134889753566797
de,pcm,0.7256991198797884,0.6198822278164823
egy,pcm,0.2744341563786008,0.0618141289437585
el,pcm,0.7269184009153973,0.5643996281198598
eme,pcm,0.3266574585635359,0.1681629834254143
en,pcm,0.7726310886015729,0.6857342497931027
eo,pcm,0.6831238779174147,0.5861759425493717
es,pcm,0.7340998143947206,0.5935553722416993
ess,pcm,0.2807632398753894,0.0665887850467289
et,pcm,0.6485710112468962,0.4894266192771475
eu,pcm,0.6312464101091326,0.3990317551489292
fa,pcm,0.4620863112284284,0.3286102049455885
fi,pcm,0.6697127577461682,0.5209780571176535
fo,pcm,0.6141799849833744,0.4805856483964389
fr,pcm,0.6956015024985747,0.5524532984539021
frm,pcm,0.6522410382592754,0.4874800984223477
fro,pcm,0.5778325368379131,0.3781362007168459
ga,pcm,0.5176715864716395,0.303626977298299
gd,pcm,0.4824950457676701,0.280645465697839
gl,pcm,0.7132575757575758,0.547695707070707
gn,pcm,0.2995391705069124,0.0921658986175115
got,pcm,0.2370072563247695,0.0526573838007452
grc,pcm,0.4599385911831282,0.2537932271005625
gsw,pcm,0.6831238779174147,0.5861759425493717
gu,pcm,0.5909814323607427,0.3835543766578249
gub,pcm,0.3352620087336244,0.1073144104803493
gun,pcm,0.150355260142104,0.012911605164642
gv,pcm,0.2922586256886054,0.0642698366676331
gwi,pcm,0.3988095238095238,0.3472222222222222
gya,pcm,0.1849925705794948,0.0196879643387815
ha,pcm,0.2814435849231054,0.1261749930656147
hbo,pcm,0.6434724349157733,0.4791347626339969
he,pcm,0.6647261090116774,0.4972593878732169
hi,pcm,0.4758264567407482,0.2775949644779696
hit,pcm,0.1222307104660045,0.0114591291061879
hr,pcm,0.1269841269841269,0.0539682539682539
hsb,pcm,0.675,0.4170454545454545
ht,pcm,0.2501503759398496,0.0626315789473684
hu,pcm,0.6434724349157733,0.4791347626339969
hy,pcm,0.6064945639158964,0.4267924709037789
