task_lang,transfer_lang,accuracy,f1_score,transfer_language
kew,arz,0.2072072072072072,0.1040347173352099,results
gah,arz,0.1727272727272727,0.0660406168880745,results
row,arz,0.1944444444444444,0.0887668320340184,results
tim,arz,0.1818181818181818,0.070607553366174,results
bki,arz,0.2162162162162162,0.099025974025974,results
auy,arz,0.1351351351351351,0.0413223140495867,results
apb,arz,0.2272727272727272,0.1068376068376068,results
bnp,arz,0.2162162162162162,0.0990413384624778,results
tbo,arz,0.1801801801801801,0.0861111111111111,results
yby,arz,0.209090909090909,0.0940860215053763,results
gqr,arz,0.1981981981981982,0.0859351769253642,results
poy,arz,0.1531531531531531,0.0677093267213427,results
tke,arz,0.2072072072072072,0.0966517301468757,results
srq,arz,0.1801801801801801,0.0685185185185185,results
viv,arz,0.2454545454545454,0.1168091168091168,results
dao,arz,0.2252252252252252,0.1083906311140924,results
vmy,arz,0.2072072072072072,0.094017094017094,results
tbg,arz,0.2181818181818181,0.1129884004884004,results
tsw,arz,0.2,0.0903580088432463,results
zpo,arz,0.2162162162162162,0.1166415284062343,results
zas,arz,0.1621621621621621,0.0472440944881889,results
opm,arz,0.1981981981981982,0.0823252688172043,results
bzh,arz,0.1621621621621621,0.0476190476190476,results
ces,arz,0.4774774774774775,0.301087962962963,results
jni,arz,0.2252252252252252,0.0962264150943396,results
agm,arz,0.1711711711711711,0.0490956072351421,results
crn,arz,0.1818181818181818,0.0617588031381134,results
npl,arz,0.1801801801801801,0.0683908045977011,results
gvc,arz,0.1962616822429906,0.080295566502463,results
coe,arz,0.1711711711711711,0.0490956072351421,results
dif,arz,0.1711711711711711,0.0600574712643678,results
agg,arz,0.1711711711711711,0.0487179487179487,results
taj,arz,0.2072072072072072,0.0879310344827586,results
rkb,arz,0.1531531531531531,0.0456989247311827,results
yre,arz,0.1981981981981982,0.0813492063492063,results
ena,arz,0.1636363636363636,0.0472440944881889,results
myk,arz,0.2522522522522522,0.1198969806564743,results
pwg,arz,0.2612612612612612,0.1265597147950089,results
amf,arz,0.2162162162162162,0.111243737105806,results
kne,arz,0.2432432432432432,0.1421096096096096,results
kto,arz,0.209090909090909,0.0971593765711412,results
zpv,arz,0.1891891891891892,0.0850850850850851,results
apn,arz,0.1619047619047619,0.0480225988700565,results
tos,arz,0.1711711711711711,0.0490956072351421,results
tpz,arz,0.1441441441441441,0.0684963640628665,results
als,arz,0.4054054054054054,0.2563860086643848,results
bkq,arz,0.1711711711711711,0.0490956072351421,results
cnl,arz,0.1711711711711711,0.0487179487179487,results
ziw,arz,0.2522522522522522,0.119309262166405,results
wnu,arz,0.2385321100917431,0.1162264150943396,results
taw,arz,0.1801801801801801,0.0698412698412698,results
sab,arz,0.1926605504587156,0.082522903453136,results
sey,arz,0.1801801801801801,0.0696138211382113,results
amp,arz,0.1818181818181818,0.0700136612021857,results
bpr,arz,0.2342342342342342,0.1177260792574952,results
nak,arz,0.1818181818181818,0.0953223223462485,results
nho,arz,0.2162162162162162,0.0898821517982536,results
nko,arz,0.1801801801801801,0.0782053920559786,results
xtd,arz,0.1621621621621621,0.0773487098840934,results
ong,arz,0.2,0.0874572051042639,results
qub,arz,0.1711711711711711,0.0588814979058881,results
sgz,arz,0.1926605504587156,0.0832611832611832,results
tnn,arz,0.2072072072072072,0.1026091482855097,results
hun,arz,0.4414414414414414,0.2575831969448991,results
kgk,arz,0.1574074074074074,0.046070460704607,results
ptu,arz,0.2162162162162162,0.1056175793017898,results
ctu,arz,0.2072072072072072,0.1096064023695602,results
gnn,arz,0.1651376146788991,0.0472440944881889,results
hto,arz,0.1711711711711711,0.0487179487179487,results
kdl,arz,0.1727272727272727,0.0759938193566512,results
msy,arz,0.1727272727272727,0.0598564666361276,results
amn,arz,0.1801801801801801,0.0802184673152415,results
prf,arz,0.1981981981981982,0.0908424908424908,results
mox,arz,0.2342342342342342,0.1133657554922019,results
ded,arz,0.2018348623853211,0.0957290132547864,results
zsr,arz,0.1801801801801801,0.0614193548387096,results
nlc,arz,0.1651376146788991,0.0570261437908496,results
aom,arz,0.1801801801801801,0.0683913172762414,results
rro,arz,0.1981981981981982,0.0805555555555555,results
xnn,arz,0.2363636363636363,0.137172388335179,results
bdv,arz,0.1801801801801801,0.074093490607252,results
sch,arz,0.1981981981981982,0.0956219087745008,results
qvz,arz,0.1711711711711711,0.058752688172043,results
bvr,arz,0.2072072072072072,0.0918945553091894,results
hrv,arz,0.4414414414414414,0.2620882393366014,results
upv,arz,0.1621621621621621,0.0626780626780626,results
mie,arz,0.1711711711711711,0.0589842494374799,results
tfr,arz,0.1727272727272727,0.0490956072351421,results
too,arz,0.1711711711711711,0.0490956072351421,results
cub,arz,0.1891891891891892,0.0712962962962962,results
kje,arz,0.2454545454545454,0.1187492540875999,results
nab,arz,0.160377358490566,0.046070460704607,results
kpg,arz,0.1891891891891892,0.0909523809523809,results
suz,arz,0.2432432432432432,0.1151829540383757,results
tiy,arz,0.1891891891891892,0.0724867724867724,results
omw,arz,0.1909090909090909,0.0789915966386554,results
knv,arz,0.1909090909090909,0.0723238482384823,results
zty,arz,0.1711711711711711,0.0490956072351421,results
esk,arz,0.1636363636363636,0.0472440944881889,results
lbb,arz,0.1801801801801801,0.0614919354838709,results
blz,arz,0.2612612612612612,0.1290382819794584,results
mqb,arz,0.1981981981981982,0.0802483155424331,results
tgj,arz,0.1801801801801801,0.0687881710061073,results
mbs,arz,0.2612612612612612,0.1655735464917674,results
kyg,arz,0.1981981981981982,0.0863697705802968,results
ntu,arz,0.1909090909090909,0.0721145885080311,results
nwi,arz,0.1801801801801801,0.0614412862474878,results
ubr,arz,0.2252252252252252,0.1078431372549019,results
yuj,arz,0.1711711711711711,0.0711738696334331,results
ian,arz,0.205607476635514,0.0850358422939068,results
nya,arz,0.2972972972972973,0.1501418177333826,results
lbk,arz,0.2972972972972973,0.1826721496532817,results
mar,arz,0.5225225225225225,0.3338199268431827,results
kbq,arz,0.1711711711711711,0.0494791666666666,results
yuw,arz,0.1711711711711711,0.0656370656370656,results
zpc,arz,0.1441441441441441,0.0579365079365079,results
plt,arz,0.3963963963963964,0.2382142262202232,results
ata,arz,0.1981981981981982,0.0949494949494949,results
tgp,arz,0.1801801801801801,0.0868136763559416,results
wbi,arz,0.1441441441441441,0.0521842955471274,results
cbv,arz,0.1909090909090909,0.0728888888888888,results
kpw,arz,0.2636363636363636,0.1416245791245791,results
pah,arz,0.1636363636363636,0.0579568579568579,results
uig,arz,0.2272727272727272,0.1158736492883578,results
hop,arz,0.1801801801801801,0.0617588031381134,results
mpt,arz,0.1727272727272727,0.0809451985922574,results
dww,arz,0.2162162162162162,0.1010802469135802,results
sbd,arz,0.1801801801801801,0.0737783237783237,results
xtm,arz,0.1441441441441441,0.0686291791527116,results
ikk,arz,0.2072072072072072,0.094017094017094,results
mux,arz,0.1711711711711711,0.0749458874458874,results
aau,arz,0.1981981981981982,0.0809130263675718,results
mir,arz,0.1743119266055046,0.0494791666666666,results
urt,arz,0.1621621621621621,0.0561714708056171,results
eus,arz,0.2612612612612612,0.1509740259740259,results
yor,arz,0.2432432432432432,0.1217532467532467,results
mbt,arz,0.1891891891891892,0.0886288628862886,results
cpc,arz,0.1621621621621621,0.0479999999999999,results
cuk,arz,0.1621621621621621,0.0476190476190476,results
tsn,arz,0.1621621621621621,0.0716716716716716,results
nuy,arz,0.1801801801801801,0.0692204301075268,results
bzd,arz,0.1727272727272727,0.0591397849462365,results
ntj,arz,0.1636363636363636,0.0564871273712737,results
tzj,arz,0.1711711711711711,0.0494791666666666,results
cso,arz,0.1711711711711711,0.0487179487179487,results
zap,arz,0.1441441441441441,0.0572337042925278,results
apw,arz,0.1711711711711711,0.0490956072351421,results
reg,arz,0.2201834862385321,0.1130801687763713,results
nog,arz,0.3272727272727272,0.1961073318216175,results
kms,arz,0.1621621621621621,0.070691823899371,results
kpx,arz,0.1909090909090909,0.0878480466220591,results
cya,arz,0.2162162162162162,0.1029307909604519,results
qup,arz,0.1711711711711711,0.0726485635576544,results
sps,arz,0.1981981981981982,0.0942857142857142,results
cme,arz,0.1711711711711711,0.0705931495405179,results
cut,arz,0.1621621621621621,0.0759594352754026,results
khs,arz,0.1801801801801801,0.0614412862474878,results
kiz,arz,0.2882882882882883,0.1459041319800813,results
isl,arz,0.4774774774774775,0.281675954951817,results
swe,arz,0.3783783783783784,0.2432315723174409,results
swp,arz,0.2612612612612612,0.1263157894736842,results
yut,arz,0.1909090909090909,0.0723238482384823,results
abx,arz,0.1981981981981982,0.0949074074074074,results
mbh,arz,0.1621621621621621,0.067193675889328,results
ngu,arz,0.1801801801801801,0.0613756613756613,results
kos,arz,0.1711711711711711,0.0655664585191793,results
aso,arz,0.2,0.0959848737626515,results
kwd,arz,0.2612612612612612,0.1221420984962826,results
ese,arz,0.1711711711711711,0.0588037634408602,results
qvm,arz,0.1869158878504672,0.0788690476190476,results
qvs,arz,0.1981981981981982,0.087037037037037,results
amu,arz,0.1801801801801801,0.0686343959071231,results
boa,arz,0.1682242990654205,0.0483870967741935,results
wiu,arz,0.2363636363636363,0.1125629277674076,results
mya,arz,0.4504504504504504,0.2939287956237109,results
bqc,arz,0.2072072072072072,0.0962962962962962,results
hmo,arz,0.1351351351351351,0.0485632183908046,results
mca,arz,0.1711711711711711,0.0494791666666666,results
kqc,arz,0.2522522522522522,0.1265809354044648,results
leu,arz,0.1711711711711711,0.0737009220247908,results
tuo,arz,0.1621621621621621,0.0568783068783068,results
gam,arz,0.1574074074074074,0.0660692696109807,results
plu,arz,0.1711711711711711,0.0592592592592592,results
soy,arz,0.1711711711711711,0.0502645502645502,results
sua,arz,0.2072072072072072,0.0947071067499256,results
enm,arz,0.4234234234234234,0.2839275103980986,results
daa,arz,0.1711711711711711,0.0704534540714824,results
oji,arz,0.1891891891891892,0.0817956875220926,results
ztq,arz,0.2522522522522522,0.1234567901234567,results
obo,arz,0.1531531531531531,0.0488505747126436,results
fin,arz,0.4324324324324324,0.2716524216524216,results
gai,arz,0.2072072072072072,0.0981240981240981,results
yss,arz,0.1891891891891892,0.0888024631340139,results
bgt,arz,0.1981981981981982,0.0969047619047619,results
arl,arz,0.1711711711711711,0.0588037634408602,results
tgo,arz,0.1801801801801801,0.0689825080068982,results
ntp,arz,0.1759259259259259,0.0783243182330403,results
wap,arz,0.1801801801801801,0.074074074074074,results
qvc,arz,0.1727272727272727,0.0594982078853046,results
hoy,arz,0.2342342342342342,0.1285264327569529,results
att,arz,0.1801801801801801,0.0613756613756613,results
tac,arz,0.1891891891891892,0.0721720430107526,results
hwc,arz,0.3786407766990291,0.2274298282362798,results
abt,arz,0.1818181818181818,0.0621863799283154,results
big,arz,0.1711711711711711,0.0490956072351421,results
rug,arz,0.1711711711711711,0.0659677649408073,results
hin,arz,0.4864864864864865,0.3107741347905282,results
mil,arz,0.1801801801801801,0.0983895832537043,results
ame,arz,0.1711711711711711,0.0494791666666666,results
msm,arz,0.2252252252252252,0.1107936507936507,results
pon,arz,0.2432432432432432,0.1195378631892015,results
kgf,arz,0.1891891891891892,0.0762762762762762,results
buk,arz,0.2018348623853211,0.083080808080808,results
cab,arz,0.1621621621621621,0.0483870967741935,results
tif,arz,0.1636363636363636,0.048780487804878,results
mdy,arz,0.1801801801801801,0.0613756613756613,results
tha,arz,0.4504504504504504,0.2774603174603174,results
tel,arz,0.4272727272727272,0.2718446100799042,results
gyr,arz,0.1909090909090909,0.0785714285714285,results
roo,arz,0.1711711711711711,0.0498687664041994,results
pol,arz,0.4234234234234234,0.2473544973544973,results
yon,arz,0.2252252252252252,0.1073037629291198,results
sll,arz,0.209090909090909,0.091277755617604,results
lug,arz,0.2072072072072072,0.0989010989010989,results
lcm,arz,0.2072072072072072,0.0924692469246924,results
fra,arz,0.4414414414414414,0.2629273504273504,results
wer,arz,0.1981981981981982,0.0883960141433622,results
mek,arz,0.1891891891891892,0.0849271940181031,results
bon,arz,0.1981981981981982,0.0999999999999999,results
gng,arz,0.2342342342342342,0.1104965350626231,results
twi,arz,0.2432432432432432,0.117129710524783,results
kvg,arz,0.1621621621621621,0.0561155913978494,results
mpm,arz,0.1711711711711711,0.0840072619244099,results
gnw,arz,0.1981981981981982,0.0864306784660767,results
sri,arz,0.1891891891891892,0.0728572721513259,results
jid,arz,0.2342342342342342,0.1028930817610063,results
kgp,arz,0.1727272727272727,0.0494791666666666,results
rgu,arz,0.1630434782608695,0.0827985739750445,results
ruf,arz,0.2252252252252252,0.1097025016903313,results
car,arz,0.1711711711711711,0.0779320987654321,results
ceg,arz,0.1801801801801801,0.0684381860852449,results
nhr,arz,0.1441441441441441,0.0579281183932346,results
kbh,arz,0.1711711711711711,0.0487179487179487,results
lzh,arz,0.4144144144144144,0.2678106678106678,results
cpb,arz,0.1801801801801801,0.078706151947823,results
tuc,arz,0.1711711711711711,0.0506666666666666,results
gdr,arz,0.1981981981981982,0.0838744588744588,results
kmo,arz,0.1711711711711711,0.0588814979058881,results
kwi,arz,0.2072072072072072,0.0905068644674344,results
ksr,arz,0.1711711711711711,0.0487179487179487,results
hla,arz,0.1727272727272727,0.0970629249317773,results
pjt,arz,0.1651376146788991,0.0479999999999999,results
not,arz,0.1891891891891892,0.1116607082617227,results
uvh,arz,0.1651376146788991,0.0491803278688524,results
ptp,arz,0.1531531531531531,0.046831955922865,results
aak,arz,0.1711711711711711,0.0487179487179487,results
gaw,arz,0.1891891891891892,0.090691823899371,results
msa,arz,0.3153153153153153,0.196151166840822,results
ben,arz,0.4414414414414414,0.2910873440285205,results
sny,arz,0.1818181818181818,0.0776980874316939,results
bjr,arz,0.1775700934579439,0.0749754178957718,results
mcd,arz,0.1743119266055046,0.0726110726110726,results
sja,arz,0.1891891891891892,0.0774471950942539,results
mav,arz,0.1891891891891892,0.0771632471008028,results
jiv,arz,0.2,0.0802387267904509,results
bmh,arz,0.1711711711711711,0.065879574970484,results
ctp,arz,0.1909090909090909,0.0809732748304746,results
ibo,arz,0.2432432432432432,0.120125786163522,results
mlp,arz,0.1454545454545454,0.0444444444444444,results
yao,arz,0.2162162162162162,0.1025727446354342,results
yal,arz,0.2162162162162162,0.100250626566416,results
wsk,arz,0.2792792792792792,0.1350059737156511,results
cbu,arz,0.1574074074074074,0.0556206088992974,results
gux,arz,0.2072072072072072,0.0974632843791722,results
mjc,arz,0.1621621621621621,0.0479999999999999,results
lid,arz,0.1981981981981982,0.0830605520445092,results
ory,arz,0.4954954954954955,0.2949978508489146,results
sbk,arz,0.1801801801801801,0.0909863945578231,results
ncl,arz,0.1981981981981982,0.0835978835978836,results
iws,arz,0.1621621621621621,0.046875,results
atb,arz,0.1801801801801801,0.0613839285714285,results
dan,arz,0.3333333333333333,0.2292611715532607,results
cux,arz,0.1621621621621621,0.0476190476190476,results
huu,arz,0.1818181818181818,0.0696138211382113,results
zat,arz,0.1621621621621621,0.0645889792231255,results
box,arz,0.1981981981981982,0.0793030115936063,results
beo,arz,0.2072072072072072,0.0985750536794846,results
nhy,arz,0.1801801801801801,0.0686343959071231,results
myw,arz,0.1809523809523809,0.0623456790123456,results
dgc,arz,0.2792792792792792,0.1460898236179135,results
gul,arz,0.2702702702702703,0.1309545049063336,results
por,arz,0.4504504504504504,0.2754765724628738,results
med,arz,0.1792452830188679,0.0861556743909685,results
sbs,arz,0.2612612612612612,0.1228978728143445,results
bzj,arz,0.2252252252252252,0.1081036474665786,results
bgs,arz,0.1981981981981982,0.0889071825478493,results
bjk,arz,0.1801801801801801,0.0838654012079378,results
byr,arz,0.1801801801801801,0.0613630192777627,results
grc,arz,0.4594594594594595,0.2969014766400388,results
txq,arz,0.1666666666666666,0.0799808429118773,results
mam,arz,0.1801801801801801,0.0943349364401996,results
azz,arz,0.1621621621621621,0.0560860215053763,results
gaz,arz,0.3513513513513513,0.2035826288838337,results
nhg,arz,0.1981981981981982,0.0878205128205128,results
lgl,arz,0.2252252252252252,0.1073812702651153,results
gof,arz,0.2252252252252252,0.1143160127253446,results
mxb,arz,0.1891891891891892,0.0817956875220926,results
bbr,arz,0.1801801801801801,0.0614412862474878,results
mio,arz,0.2522522522522522,0.1283202394313505,results
nvm,arz,0.1509433962264151,0.0444444444444444,results
sby,arz,0.2612612612612612,0.1285946825827455,results
nop,arz,0.1711711711711711,0.0665322580645161,results
sna,arz,0.2342342342342342,0.1171727641419041,results
qxo,arz,0.1886792452830188,0.0719261581330546,results
mmx,arz,0.1711711711711711,0.0821831147918104,results
rwo,arz,0.1559633027522936,0.0453333333333333,results
wnc,arz,0.1801801801801801,0.085623854739297,results
kek,arz,0.1711711711711711,0.0498687664041994,results
kpf,arz,0.1621621621621621,0.0483870967741935,results
qul,arz,0.1801801801801801,0.0613756613756613,results
cth,arz,0.1441441441441441,0.0423280423280423,results
glv,arz,0.2072072072072072,0.0998998998998998,results
mco,arz,0.1801801801801801,0.0617588031381134,results
pad,arz,0.1891891891891892,0.0732886904761904,results
mop,arz,0.1981981981981982,0.0874572051042639,results
gfk,arz,0.2162162162162162,0.1073073073073073,results
guo,arz,0.1636363636363636,0.0568275862068965,results
bjv,arz,0.1981981981981982,0.0859351769253642,results
maz,arz,0.1711711711711711,0.0662724809066272,results
quw,arz,0.1801801801801801,0.069505376344086,results
ssd,arz,0.2252252252252252,0.1049382716049382,results
nch,arz,0.1711711711711711,0.0656370656370656,results
tlf,arz,0.1818181818181818,0.0862917165270575,results
smk,arz,0.2342342342342342,0.11140642303433,results
arz,arz,0.4504504504504504,0.2975565674750255,results
bbb,arz,0.160377358490566,0.0464480874316939,results
djk,arz,0.1801801801801801,0.0844444444444444,results
ura,arz,0.1891891891891892,0.0781582054309327,results
mfy,arz,0.1891891891891892,0.0836477987421383,results
far,arz,0.2252252252252252,0.1069099676694613,results
kyc,arz,0.1531531531531531,0.0554554554554554,results
zca,arz,0.1891891891891892,0.0851615476665337,results
ncj,arz,0.1711711711711711,0.0587797619047619,results
hub,arz,0.1909090909090909,0.0898765432098765,results
nca,arz,0.1621621621621621,0.0476190476190476,results
srp,arz,0.4774774774774775,0.3137085299019986,results
apu,arz,0.1621621621621621,0.046875,results
aer,arz,0.1636363636363636,0.046875,results
kdc,arz,0.2072072072072072,0.1032704402515723,results
geb,arz,0.2,0.0847473088852399,results
aln,arz,0.4234234234234234,0.2725242508704336,results
ken,arz,0.1711711711711711,0.0498687664041994,results
gun,arz,0.1801801801801801,0.0709675777472387,results
jpn,arz,0.4684684684684684,0.2928789556696534,results
mib,arz,0.1441441441441441,0.0879408116250221,results
tbf,arz,0.2072072072072072,0.0960144927536231,results
qve,arz,0.1531531531531531,0.0534614437053461,results
bef,arz,0.1818181818181818,0.0827067669172932,results
ind,arz,0.4144144144144144,0.2412005503955968,results
agt,arz,0.2407407407407407,0.1156723225688742,results
mit,arz,0.1441441441441441,0.0857420357420357,results
anv,arz,0.1801801801801801,0.0614919354838709,results
alq,arz,0.1891891891891892,0.0724867724867724,results
mwe,arz,0.2522522522522522,0.1313316993464052,results
mle,arz,0.1727272727272727,0.0594942528735632,results
gvf,arz,0.2252252252252252,0.1028944911297852,results
tcz,arz,0.1801801801801801,0.0862579507709691,results
aai,arz,0.2072072072072072,0.0995050349889059,results
bwo,arz,0.1891891891891892,0.0715204114432658,results
tof,arz,0.1649484536082474,0.0727866904337492,results
pls,arz,0.1711711711711711,0.0790538437597261,results
wmw,arz,0.3063063063063063,0.1535539215686274,results
zpz,arz,0.1801801801801801,0.0836601307189542,results
mcp,arz,0.1711711711711711,0.0487179487179487,results
nhu,arz,0.2072072072072072,0.0979938271604938,results
bqp,arz,0.1981981981981982,0.0859121721190686,results
tbc,arz,0.1801801801801801,0.0683908045977011,results
dgz,arz,0.2522522522522522,0.1183769282360831,results
ilo,arz,0.1891891891891892,0.0792009400705053,results
miz,arz,0.2252252252252252,0.1252312245652978,results
asm,arz,0.4774774774774775,0.2837037037037037,results
ycn,arz,0.1621621621621621,0.0465116279069767,results
clu,arz,0.2702702702702703,0.1366037735849056,results
srm,arz,0.2,0.0895061728395061,results
fuf,arz,0.2342342342342342,0.1151806634603527,results
jic,arz,0.1711711711711711,0.0588037634408602,results
yle,arz,0.1851851851851851,0.0706857042129384,results
cbr,arz,0.2272727272727272,0.104827685444996,results
aaz,arz,0.1851851851851851,0.0832659115426105,results
emi,arz,0.2072072072072072,0.0982716049382716,results
aey,arz,0.1588785046728972,0.066432285944481,results
hus,arz,0.1801801801801801,0.062013578407021,results
tar,arz,0.1801801801801801,0.0621863799283154,results
tca,arz,0.1621621621621621,0.0465116279069767,results
tdt,arz,0.2072072072072072,0.1043010752688172,results
vid,arz,0.2342342342342342,0.1140350877192982,results
tgl,arz,0.4684684684684684,0.3050182149362477,results
inb,arz,0.1801801801801801,0.0602067183462532,results
acr,arz,0.1711711711711711,0.0494791666666666,results
bch,arz,0.2072072072072072,0.0994645645868967,results
ita,arz,0.4594594594594595,0.2779201474853649,results
mcr,arz,0.1711711711711711,0.0487179487179487,results
acu,arz,0.1727272727272727,0.0669037940379403,results
usa,arz,0.128440366972477,0.0385674931129476,results
bco,arz,0.1727272727272727,0.0683218390804597,results
cap,arz,0.1711711711711711,0.0594982078853046,results
mbj,arz,0.1621621621621621,0.0578595837216526,results
yaq,arz,0.2072072072072072,0.0904368358913813,results
bjp,arz,0.1801801801801801,0.0617164898746383,results
xla,arz,0.1909090909090909,0.0868077379705286,results
poe,arz,0.1891891891891892,0.0721720430107526,results
quf,arz,0.1727272727272727,0.0494791666666666,results
nin,arz,0.2252252252252252,0.1059310190619933,results
cbt,arz,0.1621621621621621,0.0479999999999999,results
cle,arz,0.1711711711711711,0.0487179487179487,results
ote,arz,0.1621621621621621,0.0560860215053763,results
zpl,arz,0.2252252252252252,0.1068003726231574,results
rop,arz,0.2162162162162162,0.1012901290129012,results
ksw,arz,0.1531531531531531,0.046070460704607,results
mcf,arz,0.1818181818181818,0.06293157564344,results
crx,arz,0.1621621621621621,0.0628359451888863,results
yad,arz,0.1792452830188679,0.0706414797323888,results
ckb,arz,0.1711711711711711,0.0591488563929508,results
apz,arz,0.1801801801801801,0.0758598521375763,results
kvn,arz,0.1981981981981982,0.0850574712643678,results
mto,arz,0.1711711711711711,0.0494791666666666,results
ssx,arz,0.1441441441441441,0.0516083421703782,results
gum,arz,0.1711711711711711,0.0494791666666666,results
otq,arz,0.1441441441441441,0.0695493022191718,results
txu,arz,0.1727272727272727,0.0821727859166817,results
kmh,arz,0.1727272727272727,0.0598039215686274,results
top,arz,0.1981981981981982,0.0945165945165945,results
mmo,arz,0.1711711711711711,0.0660559305689488,results
ppo,arz,0.1926605504587156,0.0834435626102292,results
luo,arz,0.1891891891891892,0.0857142857142857,results
aze,arz,0.4864864864864865,0.3303489702517162,results
cta,arz,0.2,0.0923974282494863,results
gdn,arz,0.2293577981651376,0.1071428571428571,results
mih,arz,0.1711711711711711,0.0600574712643678,results
mva,arz,0.1801801801801801,0.0743383883437407,results
dov,arz,0.2252252252252252,0.1085805084745762,results
bkd,arz,0.2363636363636363,0.111392832995267,results
ons,arz,0.1981981981981982,0.0793650793650793,results
avt,arz,0.2162162162162162,0.1037676157607132,results
kde,arz,0.2612612612612612,0.1241666666666666,results
amm,arz,0.2702702702702703,0.1357466063348416,results
xav,arz,0.1621621621621621,0.048780487804878,results
bhd,arz,0.3333333333333333,0.1685990338164251,results
boj,arz,0.1981981981981982,0.0891845282089184,results
ksd,arz,0.2072072072072072,0.0927520302863772,results
vie,arz,0.4684684684684684,0.2929539295392954,results
eri,arz,0.2072072072072072,0.0911282545805207,results
haw,arz,0.1711711711711711,0.0814692074012703,results
qvw,arz,0.1909090909090909,0.1069457531296271,results
rus,arz,0.4324324324324324,0.2729559807357157,results
kpj,arz,0.1698113207547169,0.048780487804878,results
lif,arz,0.1711711711711711,0.0487179487179487,results
yrb,arz,0.2735849056603773,0.1326681448632668,results
kud,arz,0.209090909090909,0.1007415445831072,results
tam,arz,0.4864864864864865,0.3112076055772506,results
cjo,arz,0.1834862385321101,0.0714025500910746,results
cav,arz,0.1801801801801801,0.068825910931174,results
for,arz,0.1621621621621621,0.0764408671777268,results
mpp,arz,0.1727272727272727,0.0670339761248852,results
mbc,arz,0.1711711711711711,0.0490956072351421,results
xnj,arz,0.2522522522522522,0.1273015873015873,results
enq,arz,0.1801801801801801,0.0685185185185185,results
dgr,arz,0.1711711711711711,0.0487179487179487,results
faa,arz,0.1621621621621621,0.0560860215053763,results
llg,arz,0.1388888888888889,0.0676883780332056,results
pes,arz,0.4594594594594595,0.3060005350649099,results
zab,arz,0.2432432432432432,0.1211538461538461,results
ngp,arz,0.2702702702702703,0.1351686507936507,results
urb,arz,0.1818181818181818,0.0622996794871794,results
zav,arz,0.1636363636363636,0.046875,results
ffm,arz,0.1891891891891892,0.0885547201336675,results
gmv,arz,0.2432432432432432,0.1270609318996415,results
amo,arz,0.1621621621621621,0.0814412784562038,results
