task_lang,transfer_lang,exact_match,f1_score
en,hi,18.73949579831933,28.89485825010545
vi,hi,16.638655462184875,29.60606206579584
hi,hi,33.27731092436975,44.74178773474145
ro,ro,40.33613445378151,53.19775146586607
de,ro,27.563025210084035,40.99525666481184
es,ro,27.81512605042017,42.66884846245682
en,ro,28.73949579831933,40.88556235522442
vi,ro,25.210084033613445,40.561724094154
tr,ro,20.16806722689076,33.03120559740967
zh,ro,16.050420168067227,27.752300920368143
ar,ro,23.277310924369747,38.27096872461012
el,ro,26.050420168067227,38.91854734583608
th,ro,23.025210084033613,34.2909083029605
ru,ro,23.69747899159664,38.62776573896805
hi,ro,21.176470588235293,33.693852154712985
ro,ru,15.546218487394958,22.2531306573016
ar,ru,13.025210084033612,20.38220719273058
th,ru,13.949579831932772,20.098105909030284
de,ru,14.957983193277313,21.76258144154979
vi,ru,11.84873949579832,21.08435122702913
en,ru,13.697478991596638,21.032619123213863
tr,ru,11.260504201680671,19.06350355941632
zh,ru,9.243697478991596,16.4243576218366
es,ru,13.193277310924367,21.358093639364405
ru,ru,20.50420168067227,29.21907497289028
el,ru,12.77310924369748,21.32289544365671
hi,ru,12.268907563025213,19.29026858508304
el,th,11.84873949579832,16.909875151449807
zh,th,23.865546218487395,29.233159930638923
es,th,10.756302521008404,16.93343019203045
ro,th,11.176470588235292,17.15807177744736
hi,th,11.008403361344538,17.169088354381483
en,th,11.428571428571429,17.935979556205663
vi,th,11.344537815126053,20.21998439108668
ru,th,8.571428571428571,16.722161499228502
de,th,11.428571428571429,17.022357283975634
tr,th,7.226890756302521,13.693339670698618
ar,th,10.92436974789916,17.337079294327424
th,th,30.756302521008404,34.90188639558389
es,tr,22.01680672268908,31.51495273261391
hi,tr,23.529411764705884,34.69643004444351
el,tr,19.41176470588235,29.545873610377424
en,tr,24.369747899159663,33.04248488938606
de,tr,24.45378151260504,33.76292101093669
tr,tr,31.008403361344534,43.743071282362216
ro,tr,24.369747899159663,32.860180562905235
zh,tr,20.92436974789916,29.69734560490865
ru,tr,19.41176470588235,30.747307697100634
th,tr,23.025210084033613,31.305952684103943
ar,tr,17.647058823529413,27.59550486782941
vi,tr,20.252100840336134,32.071826529603364
ru,vi,27.142857142857142,41.03481593444336
es,vi,28.067226890756302,42.37868150811455
ar,vi,24.03361344537815,37.27740209657679
th,vi,31.09243697478992,42.55015106275617
tr,vi,23.69747899159664,36.27301340557179
zh,vi,22.18487394957983,34.489292686771755
ro,vi,31.09243697478992,43.85582859094798
de,vi,28.067226890756302,39.53529290296703
en,vi,33.69747899159664,44.54556785280957
hi,vi,26.974789915966387,39.22031912711486
el,vi,27.478991596638654,40.13156755337699
vi,vi,39.49579831932773,54.81389451650843
en,zh,5.714285714285714,10.362300309541702
vi,zh,4.957983193277311,10.682320583456876
zh,zh,18.65546218487395,21.50129142566117
ru,zh,4.369747899159663,9.673785026353688
tr,zh,4.53781512605042,10.341099929254309
hi,zh,7.226890756302521,11.994797031709574
ro,zh,4.7899159663865545,8.686446723678154
el,zh,4.7899159663865545,9.778496982930111
de,zh,4.873949579831932,9.702280290003548
es,zh,5.378151260504202,10.186695779432345
ar,zh,6.050420168067227,10.543255646243978
th,zh,13.025210084033612,17.144720567652904
