task_lang,transfer_lang,exact_match,f1_score
en,hi,17.394957983193276,25.15402152521685
de,hi,16.050420168067227,22.965444694474638
es,hi,15.546218487394958,23.82222351697981
ro,hi,16.470588235294116,23.273063274655183
ar,ro,23.277310924369747,36.41084512948186
zh,ro,18.73949579831933,27.183558271793576
de,ro,26.47058823529412,36.27679684313304
vi,ro,25.798319327731093,38.503400653179874
el,ro,25.630252100840337,36.694110691461525
en,ro,31.428571428571427,41.09458062920919
ru,ro,24.201680672268907,36.55060474807076
ro,ro,38.48739495798319,48.77651890423778
es,ro,26.722689075630253,40.046114343761325
tr,ro,20.840336134453786,31.791823524465137
hi,ro,21.764705882352946,32.204917863951884
th,ro,25.210084033613445,34.759295424708974
de,ru,24.03361344537815,34.88554345040901
es,ru,22.77310924369748,34.4820123340302
ru,ru,30.252100840336134,43.34416523747594
en,ru,26.47058823529412,37.22597751016874
el,ru,23.949579831932773,34.17385039684705
th,ru,22.857142857142858,32.579247414829034
tr,ru,18.067226890756302,29.165432962295384
ro,ru,25.3781512605042,34.48019674699596
hi,ru,18.235294117647054,30.15660384628388
ar,ru,21.51260504201681,32.185162281882675
vi,ru,22.77310924369748,36.05831098554905
zh,ru,17.22689075630252,27.39126559714796
en,th,9.831932773109244,15.95674697979381
ar,th,10.084033613445378,15.744324533786235
tr,th,6.554621848739496,12.597061935143076
zh,th,19.66386554621849,24.573896225156734
de,th,9.915966386554622,14.819898242562385
el,th,9.411764705882351,14.876383293547372
ro,th,10.084033613445378,15.71572517088844
th,th,22.77310924369748,26.830608000776078
vi,th,9.915966386554622,18.448399434689847
ru,th,8.823529411764707,14.989503998547542
es,th,9.663865546218489,16.449596984693958
hi,th,10.168067226890756,15.192525754201151
ro,tr,17.983193277310924,24.89038476868004
ru,tr,15.714285714285714,24.41650511333671
zh,tr,16.050420168067227,22.92943844204348
ar,tr,12.521008403361344,21.15994576806772
vi,tr,15.042016806722687,24.480486852734124
en,tr,18.571428571428573,25.609965122786285
th,tr,15.294117647058824,21.77218952849204
hi,tr,16.974789915966387,25.627679970191807
es,tr,15.714285714285714,23.90952579850258
el,tr,15.042016806722687,23.09490391276375
tr,tr,25.210084033613445,35.34919031880726
de,tr,16.554621848739497,24.17163622353765
en,vi,17.647058823529413,25.18675823437901
zh,vi,10.92436974789916,19.360046116348617
hi,vi,14.873949579831931,24.39621845184272
ro,vi,16.470588235294116,25.087774729153995
tr,vi,13.361344537815128,22.665747722164408
ar,vi,14.621848739495798,23.578361207489976
ru,vi,14.957983193277313,22.99617755635072
es,vi,15.042016806722687,24.33575830089719
vi,vi,26.80672268907563,37.95312392120593
el,vi,13.697478991596638,21.3783109460268
th,vi,15.882352941176473,25.34467003584652
de,vi,15.630252100840336,23.43914078807512
de,zh,7.478991596638655,13.37269501281282
en,zh,7.815126050420168,14.208652998321783
el,zh,6.80672268907563,12.070170408698178
zh,zh,20.16806722689076,24.246681025351315
th,zh,14.53781512605042,19.614450884021878
ro,zh,7.142857142857143,12.448414289230517
es,zh,7.899159663865547,13.604377829062908
ru,zh,6.80672268907563,13.313068244507578
tr,zh,5.294117647058823,11.754796152441669
ar,zh,7.647058823529412,13.157617039331058
vi,zh,6.80672268907563,13.49589773132093
hi,zh,6.890756302521009,12.794866800138571
